Country,PM2.5,GDPdelta
AFG,56.9108,1
ALB,18.2006,1
AND,10.3076,0
ARB,58.6893,0
ARE,40.9175,1
ARG,13.3118,1
ARM,32.5281,0
ATG,18.6223,1
AUS,8.5503,1
AUT,12.478,1
AZE,19.9287,0
BDI,38.8963,0
BEL,12.8865,0
BEN,39,0
BFA,42.9356,0
BGD,60.8458,0
BGR,19.1491,1
BHR,70.8162,0
BHS,17.3677,1
BIH,27.7477,1
BLR,18.7656,1
BLZ,23.0119,0
BMU,11.6464,1
BOL,21.569,0
BRA,12.7066,0
BRB,23.0802,0
BRN,5.9031,0
BTN,37.9265,0
BWA,23.0944,1
CAF,56.8285,0
CAN,6.4284,1
CEB,17.6333,0
CHE,10.3031,0
CHL,21.0363,0
CHN,52.6646,0
CIV,25.8863,0
CMR,72.7931,1
COD,44.9093,1
COL,16.5272,0
COM,20.5468,1
CPV,34.7787,1
CRI,15.7259,1
CSS,19.0098,0
CUB,19.706,0
CYP,17.2944,0
CZE,16.0712,0
DEU,12.0288,1
DJI,45.5496,0
DNK,10.0297,1
DOM,13.7263,0
DZA,38.884,0
EAP,42.5395,0
EAR,60.3687,0
EAS,39.7506,0
ECA,24.9394,1
ECS,18.0836,1
ECU,14.8861,1
EGY,86.9995,0
EMU,12.5251,1
ESP,9.6979,1
EST,6.7321,0
ETH,38.9787,0
EUU,13.4661,1
FCS,51.6019,0
FIN,5.8613,1
FJI,10.8402,0
FRA,11.815,1
FSM,11.2834,1
GAB,44.3855,0
GBR,10.4727,0
GEO,22.1961,0
GHA,34.7135,0
GIN,26.0625,0
GMB,33.9826,0
GNB,29.7747,0
GRC,16.2183,0
GRD,22.7227,0
GRL,11.6022,0
GTM,24.0706,1
GUM,11.6344,0
GUY,22.3756,1
HIC,14.6816,1
HND,20.6289,0
HPC,40.685,0
HRV,17.9018,1
HTI,15.0198,1
HUN,15.926,0
IBD,52.0215,0
IBT,51.1762,0
IDA,48.6613,0
IDB,57.161,1
IDN,16.5027,0
IDX,44.3366,0
IND,90.8732,0
IRL,8.2086,0
IRN,38.9788,1
ISL,6.4811,0
ISR,21.3811,1
ITA,16.7507,0
JAM,13.4042,0
JOR,33.0061,1
JPN,11.7048,1
KAZ,13.8243,0
KEN,28.5784,0
KGZ,22.7378,0
KHM,25.6143,0
KIR,10.6409,0
KOR,25.0394,1
LAC,16.6809,0
LAO,25.1095,0
LBN,30.6211,0
LBR,17.9841,1
LBY,54.2547,0
LCA,22.4008,1
LCN,16.7084,0
LDC,45.2687,0
LIC,42.8282,1
LKA,11.0996,1
LMC,67.8048,0
LMY,51.4997,0
LTE,40.0084,0
LTU,11.8533,0
LUX,10.3646,0
LVA,13.4265,1
MAR,32.5935,0
MDA,16.251,0
MDG,22.5423,1
MDV,7.7958,0
MEA,55.6693,0
MEX,20.9211,1
MHL,10.2413,0
MIC,52.4692,0
MKD,29.7269,0
MLI,38.5266,0
MLT,13.9095,0
MMR,35.5575,0
MNA,53.8578,1
MNE,20.7818,0
MNG,40.1128,0
MNP,9.893,0
MOZ,21.2987,1
MRT,47.423,1
MUS,14.4578,1
MWI,23.5659,0
MYS,16.0358,0
NAC,7.311,1
NER,94.0538,0
NGA,71.7982,0
NIC,17.6142,0
NLD,12.0344,1
NOR,6.9565,1
NPL,99.7344,0
NZL,5.956,1
OED,14.531,1
OMN,41.1152,0
OSS,34.7544,0
PAK,58.2824,0
PAN,11.4001,0
PER,24.7867,1
PHL,18.0698,0
PNG,12.2944,1
POL,20.8778,0
PRE,48.6379,0
PRT,8.1608,1
PRY,11.9091,0
PSE,33.2256,0
PSS,11.2676,0
PST,11.5931,1
ROU,14.6113,0
RUS,16.1602,0
RWA,43.2102,1
SAS,82.8695,0
SDN,55.3708,0
SEN,40.6958,0
SGP,19.0783,0
SLB,11.8791,0
SLE,21.6259,0
SLV,24.4723,1
SRB,24.7264,1
SSA,44.6408,1
SSF,44.6021,1
SST,30.4722,0
STP,28.5396,1
SUR,24.78,0
SVK,17.5629,1
SVN,16.024,0
SWE,6.1847,1
SWZ,17.1688,1
SYC,20.1786,0
TEA,42.6714,0
TEC,24.0924,0
TGO,35.7313,0
THA,26.2567,0
TJK,46.1522,0
TKM,21.7677,0
TLA,16.6962,0
TMN,54.1048,1
TON,10.7855,1
TSA,82.8695,0
TSS,44.6021,1
TUN,37.656,0
TUR,44.3115,0
TZA,29.0766,0
UGA,50.4943,1
UKR,20.3098,1
UMC,37.0492,0
URY,9.2749,1
USA,7.4094,1
UZB,28.4559,0
VCT,22.2005,0
VNM,29.6267,0
VUT,11.6528,0
WLD,45.5284,1
WSM,11.548,0
ZAF,25.1022,0
ZMB,27.438,1
ZWE,22.2517,0
